Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
55,Male,Barzil,27710,False,False,driver,Rural,Facebook,236,11,Entertainment,29,15,36,77,Afternoon,5,5,Boredom,Computer,Android,5:00 PM,7,3,Commuting,Mobile Data
19,Female,Indonesia,87155,True,False,Students,Rural,Instagram,242,10,Entertainment,26,2,48,40,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At work,Mobile Data
38,Female,India,33975,False,False,Waiting staff,Urban,Facebook,49,3,Pranks,14,11,23,85,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
50,Male,Germany,82424,True,True,Waiting staff,Rural,TikTok,162,10,Jokes/Memes,7,29,15,31,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
29,Male,Japan,65603,True,False,Labor/Worker,Urban,TikTok,136,18,Jokes/Memes,29,14,46,48,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Wi-Fi
39,Male,Japan,43252,False,True,Students,Rural,YouTube,246,14,Gaming,20,22,44,61,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data
61,Other,Vietnam,21431,False,False,Manager,Urban,Instagram,64,18,Life Hacks,6,15,3,52,Night,3,7,Habit,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
42,Female,India,94603,True,True,Labor/Worker,Rural,TikTok,181,8,Entertainment,7,14,32,38,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,At work,Mobile Data
44,Male,India,57481,True,False,driver,Urban,TikTok,118,10,Pranks,5,16,10,91,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,At home,Wi-Fi
59,Male,United States,29557,False,True,driver,Rural,Instagram,193,13,Pranks,21,23,40,36,Morning,8,2,Habit,Smartphone,iOS,8:00 AM,10,0,At school,Wi-Fi
45,Male,United States,94971,True,False,Students,Rural,Facebook,207,8,Jokes/Memes,18,29,38,87,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
33,Male,India,20162,False,True,Labor/Worker,Rural,Instagram,96,4,Trends,23,15,22,55,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,Commuting,Mobile Data
32,Other,Mexico,54742,True,False,Waiting staff,Rural,Facebook,210,4,Trends,12,19,14,85,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
64,Female,Vietnam,39675,False,True,Students,Rural,TikTok,284,5,Entertainment,6,27,17,13,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At school,Mobile Data
61,Other,Mexico,93997,True,False,Students,Urban,TikTok,220,1,Jokes/Memes,27,9,21,37,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi
20,Male,United States,37015,False,True,Labor/Worker,Rural,TikTok,127,17,Entertainment,1,5,48,47,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data
54,Male,Philippines,70057,True,False,Students,Urban,YouTube,200,2,Jokes/Memes,4,5,15,90,Afternoon,5,5,Boredom,Smartphone,iOS,5:00 PM,7,3,At school,Wi-Fi
24,Male,Barzil,52591,True,True,Cashier,Rural,YouTube,51,8,Jokes/Memes,19,11,15,71,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
38,Male,Germany,29833,False,False,Students,Rural,YouTube,51,7,ASMR,12,28,1,22,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,Commuting,Mobile Data
26,Male,Pakistan,27896,False,True,Waiting staff,Urban,Instagram,285,15,Comedy,15,20,24,39,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
56,Male,India,52972,True,False,Students,Urban,TikTok,26,5,ASMR,3,25,12,87,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At school,Mobile Data
35,Other,Indonesia,69733,True,True,Cashier,Rural,TikTok,292,2,Life Hacks,23,24,10,58,Morning,8,2,Entertainment,Tablet,MacOS,8:00 AM,10,0,At home,Mobile Data
21,Female,Pakistan,61800,True,False,Waiting staff,Rural,Instagram,267,7,Gaming,27,28,46,30,Night,3,7,Entertainment,Tablet,Windows,9:00 PM,5,5,At school,Mobile Data
42,Other,Philippines,25347,False,True,Labor/Worker,Urban,YouTube,72,8,Gaming,28,4,42,18,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,Commuting,Mobile Data
31,Female,Pakistan,79063,True,False,Waiting staff,Rural,Instagram,71,7,Comedy,26,20,42,18,Evening,6,4,Procrastination,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
26,Male,Vietnam,22643,False,True,Labor/Worker,Rural,YouTube,109,7,Trends,20,18,31,74,Afternoon,5,5,Procrastination,Smartphone,MacOS,5:00 PM,7,3,At school,Mobile Data
43,Male,Japan,60785,True,True,Students,Rural,TikTok,28,14,Pranks,28,25,11,39,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
19,Female,India,38681,False,True,Students,Rural,Facebook,26,18,Trends,8,3,16,94,Evening,6,4,Boredom,Tablet,Android,2:00 PM,8,2,At school,Wi-Fi
37,Male,United States,70026,True,True,Students,Urban,YouTube,255,6,Life Hacks,11,4,9,26,Afternoon,5,5,Procrastination,Smartphone,iOS,5:00 PM,7,3,At home,Mobile Data
45,Female,United States,35892,False,False,Waiting staff,Rural,TikTok,260,4,Entertainment,16,14,47,71,Afternoon,5,5,Entertainment,Tablet,Windows,5:00 PM,7,3,At home,Wi-Fi
64,Other,Mexico,67299,True,True,driver,Rural,TikTok,90,10,Entertainment,9,7,14,7,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At home,Mobile Data
24,Male,Germany,37073,False,False,Students,Rural,Facebook,48,18,Pranks,3,26,19,69,Evening,6,4,Boredom,Tablet,MacOS,2:00 PM,8,2,Commuting,Mobile Data
61,Male,Vietnam,50682,True,False,driver,Rural,TikTok,45,12,Trends,5,8,31,65,Afternoon,5,5,Procrastination,Computer,Android,5:00 PM,7,3,At work,Mobile Data
25,Other,India,34289,False,False,Cashier,Rural,TikTok,206,16,Life Hacks,20,24,9,46,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
64,Male,Japan,27927,False,False,Manager,Rural,YouTube,167,7,Life Hacks,14,16,36,18,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi
52,Male,Indonesia,68330,True,False,Labor/Worker,Rural,YouTube,213,6,Jokes/Memes,28,20,39,13,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
31,Male,United States,86707,True,True,Waiting staff,Rural,Facebook,205,5,Entertainment,26,15,26,25,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
34,Male,Vietnam,97454,True,False,Waiting staff,Rural,Facebook,225,3,Vlogs,15,7,8,8,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At school,Mobile Data
53,Male,Japan,85428,True,False,driver,Urban,TikTok,294,12,Life Hacks,6,26,24,74,Night,3,7,Habit,Smartphone,iOS,9:00 PM,5,5,At home,Mobile Data
57,Female,Germany,70601,True,True,driver,Rural,YouTube,205,15,Entertainment,27,17,8,32,Afternoon,5,5,Entertainment,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi
21,Other,United States,97465,True,True,Waiting staff,Urban,Facebook,161,10,Jokes/Memes,26,22,19,17,Afternoon,5,5,Procrastination,Smartphone,Android,5:00 PM,7,3,Commuting,Wi-Fi
19,Male,United States,22539,False,True,Waiting staff,Rural,Facebook,23,19,Entertainment,4,22,47,79,Evening,6,4,Habit,Computer,Android,2:00 PM,8,2,At school,Mobile Data
23,Male,Vietnam,42669,False,False,Students,Rural,Instagram,155,16,ASMR,8,22,48,79,Evening,6,4,Boredom,Computer,iOS,2:00 PM,8,2,Commuting,Wi-Fi
59,Male,United States,90968,True,False,Teacher,Rural,Facebook,66,11,Life Hacks,19,12,30,48,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
21,Other,India,40644,False,False,Teacher,Rural,TikTok,220,8,Life Hacks,27,18,22,63,Afternoon,5,5,Habit,Smartphone,MacOS,5:00 PM,7,3,At home,Mobile Data
46,Other,India,38745,False,True,Cashier,Rural,YouTube,277,3,Gaming,5,24,9,40,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data
35,Male,Mexico,48228,False,False,Students,Rural,Facebook,219,7,Trends,13,14,44,84,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,At home,Mobile Data
43,Male,Vietnam,54521,True,False,Artist,Rural,Instagram,26,7,Life Hacks,16,15,48,15,Night,3,7,Habit,Smartphone,MacOS,9:00 PM,5,5,At home,Wi-Fi
61,Female,Mexico,46928,False,False,Students,Rural,YouTube,295,14,Gaming,1,15,4,99,Evening,6,4,Habit,Computer,Android,2:00 PM,8,2,At home,Mobile Data
51,Female,Vietnam,38322,False,False,Students,Rural,Facebook,212,2,Pranks,13,5,37,6,Afternoon,5,5,Entertainment,Tablet,iOS,5:00 PM,7,3,At school,Mobile Data
27,Male,Indonesia,77714,True,True,Labor/Worker,Urban,Instagram,108,10,Life Hacks,22,16,8,94,Night,3,7,Boredom,Smartphone,Windows,9:00 PM,5,5,At home,Wi-Fi
53,Male,Vietnam,82292,True,False,Engineer,Rural,Facebook,288,19,Comedy,11,5,1,63,Evening,6,4,Entertainment,Computer,Windows,2:00 PM,8,2,At school,Mobile Data
31,Female,Germany,49055,False,True,Waiting staff,Urban,YouTube,218,9,Jokes/Memes,21,2,28,8,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
48,Other,Philippines,62891,True,False,driver,Rural,YouTube,138,16,Jokes/Memes,8,20,6,95,Night,3,7,Procrastination,Computer,MacOS,9:00 PM,5,5,At school,Mobile Data
32,Male,United States,26588,False,True,Labor/Worker,Rural,YouTube,297,19,Jokes/Memes,25,28,47,32,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
25,Female,India,26304,False,False,driver,Rural,TikTok,261,18,Pranks,8,25,36,45,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Wi-Fi
31,Male,India,27345,False,True,Labor/Worker,Rural,Facebook,274,9,Life Hacks,24,9,11,52,Afternoon,5,5,Procrastination,Tablet,Android,5:00 PM,7,3,Commuting,Mobile Data
40,Other,Japan,49300,False,False,Labor/Worker,Rural,TikTok,280,16,Vlogs,28,22,5,79,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At school,Wi-Fi
57,Male,United States,44259,False,True,driver,Rural,YouTube,197,13,Jokes/Memes,14,27,24,82,Night,3,7,Habit,Tablet,Windows,9:00 PM,5,5,At school,Mobile Data
38,Male,United States,35352,False,False,driver,Rural,Instagram,223,10,Gaming,13,9,47,13,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
33,Male,Pakistan,53365,True,True,Labor/Worker,Urban,Facebook,292,14,Jokes/Memes,3,4,18,24,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
62,Male,Philippines,39446,False,False,Students,Rural,TikTok,220,12,Pranks,4,15,20,40,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,Commuting,Mobile Data
35,Male,India,22336,False,True,Waiting staff,Urban,Facebook,85,19,Entertainment,27,11,28,14,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At work,Mobile Data
64,Male,Barzil,82032,True,False,Labor/Worker,Urban,Instagram,157,7,Jokes/Memes,20,1,13,92,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,At home,Wi-Fi
41,Other,India,95415,True,True,Waiting staff,Rural,TikTok,222,15,Life Hacks,15,18,5,75,Night,3,7,Entertainment,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
43,Female,Indonesia,27521,False,False,Engineer,Rural,YouTube,118,16,Trends,15,29,30,70,Night,3,7,Habit,Computer,iOS,9:00 PM,5,5,At home,Wi-Fi
42,Other,United States,91707,True,True,Manager,Rural,TikTok,138,8,Life Hacks,27,1,1,62,Night,3,7,Entertainment,Computer,MacOS,9:00 PM,5,5,At home,Mobile Data
62,Female,United States,43481,False,False,Students,Rural,Facebook,19,10,Jokes/Memes,21,8,22,89,Night,3,7,Boredom,Smartphone,MacOS,9:00 PM,5,5,At work,Mobile Data
58,Female,Germany,38474,False,True,Waiting staff,Rural,Facebook,56,4,Jokes/Memes,13,25,18,61,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi
46,Male,United States,66760,True,False,Waiting staff,Rural,Facebook,105,19,Jokes/Memes,9,16,46,1,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,At school,Mobile Data
32,Male,India,75718,True,True,Students,Rural,Facebook,112,19,Jokes/Memes,28,26,5,89,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,Commuting,Wi-Fi
62,Female,India,64629,True,False,Students,Rural,YouTube,155,15,Trends,25,28,31,66,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data
18,Male,India,65232,True,True,driver,Rural,TikTok,36,14,Vlogs,10,22,6,32,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,At work,Wi-Fi
42,Other,Vietnam,87169,True,True,Manager,Rural,YouTube,229,1,Life Hacks,29,18,27,13,Evening,6,4,Habit,Computer,iOS,2:00 PM,8,2,At work,Wi-Fi
24,Other,Pakistan,70669,True,True,Students,Rural,YouTube,27,16,Jokes/Memes,12,22,25,33,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At home,Wi-Fi
26,Male,United States,98021,True,True,Students,Urban,YouTube,176,10,ASMR,14,9,29,32,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Wi-Fi
41,Female,United States,89184,True,False,Waiting staff,Urban,Facebook,91,19,Jokes/Memes,1,12,28,56,Afternoon,5,5,Entertainment,Tablet,Android,5:00 PM,7,3,At work,Mobile Data
18,Male,India,67945,True,True,Engineer,Rural,Facebook,81,3,ASMR,14,19,16,24,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At work,Wi-Fi
61,Female,Mexico,33140,False,False,Waiting staff,Urban,Facebook,263,5,Pranks,14,25,12,91,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At home,Wi-Fi
25,Male,Germany,34357,False,False,Engineer,Rural,TikTok,171,9,Vlogs,8,18,20,4,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,At work,Wi-Fi
41,Male,Germany,88673,True,False,Waiting staff,Rural,Instagram,47,18,Jokes/Memes,16,27,18,88,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,Commuting,Mobile Data
28,Male,India,85633,True,False,Engineer,Urban,Facebook,210,11,Jokes/Memes,14,5,34,23,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi
34,Female,Japan,96943,True,False,Engineer,Rural,TikTok,209,16,Gaming,1,27,23,29,Night,3,7,Habit,Tablet,Windows,9:00 PM,5,5,At work,Mobile Data
25,Female,India,98258,True,True,driver,Urban,Facebook,264,2,Gaming,16,2,45,98,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
52,Male,Philippines,32924,False,False,Labor/Worker,Rural,Facebook,188,12,Comedy,18,7,27,21,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
52,Female,Japan,89286,True,False,Labor/Worker,Urban,YouTube,44,6,Jokes/Memes,7,27,49,30,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
50,Male,Barzil,94071,True,True,Waiting staff,Rural,YouTube,91,11,Pranks,15,10,17,90,Night,3,7,Entertainment,Smartphone,Windows,9:00 PM,5,5,At work,Wi-Fi
22,Male,Mexico,77326,True,True,Artist,Rural,YouTube,229,8,Gaming,24,15,48,20,Evening,6,4,Entertainment,Computer,Android,2:00 PM,8,2,At home,Wi-Fi
59,Male,Germany,50651,True,True,Labor/Worker,Rural,TikTok,167,12,Jokes/Memes,17,25,21,16,Night,3,7,Procrastination,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
56,Female,India,90202,True,False,Waiting staff,Rural,Instagram,13,2,Jokes/Memes,19,7,40,67,Night,3,7,Entertainment,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
58,Female,Barzil,68777,True,False,Labor/Worker,Rural,Instagram,176,9,Pranks,23,28,31,49,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Wi-Fi
45,Female,Vietnam,36994,False,False,Labor/Worker,Rural,TikTok,213,15,Jokes/Memes,13,5,3,58,Evening,6,4,Procrastination,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
24,Male,Indonesia,87263,True,True,Teacher,Rural,Facebook,203,2,Jokes/Memes,9,15,17,44,Evening,6,4,Boredom,Computer,Windows,2:00 PM,8,2,At home,Wi-Fi
26,Male,United States,79634,True,False,Students,Rural,TikTok,244,1,Entertainment,24,20,26,25,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data
25,Male,Barzil,30800,False,False,Students,Urban,Facebook,215,10,Life Hacks,24,28,23,23,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,At school,Mobile Data
29,Female,Philippines,57823,True,False,Cashier,Rural,TikTok,159,2,Entertainment,15,20,6,59,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Wi-Fi
51,Male,United States,83878,True,False,driver,Rural,TikTok,168,12,Life Hacks,25,15,28,1,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At work,Wi-Fi
50,Other,India,38708,False,True,Labor/Worker,Rural,TikTok,288,8,Life Hacks,26,10,8,97,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
40,Female,Pakistan,32819,False,False,Engineer,Rural,Instagram,175,5,Gaming,3,24,45,15,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi
41,Other,Vietnam,94905,True,True,Labor/Worker,Rural,YouTube,77,1,Life Hacks,24,26,8,81,Night,3,7,Habit,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
54,Other,Barzil,83870,True,False,Labor/Worker,Rural,TikTok,97,15,Gaming,1,29,19,98,Night,3,7,Habit,Tablet,iOS,9:00 PM,5,5,At home,Mobile Data
52,Female,Mexico,29283,False,True,Artist,Urban,Instagram,226,6,Trends,16,26,38,81,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,Commuting,Mobile Data
61,Other,India,50573,True,False,Waiting staff,Rural,YouTube,10,12,Comedy,8,14,29,52,Evening,6,4,Boredom,Smartphone,Windows,2:00 PM,8,2,At home,Wi-Fi
57,Male,United States,98707,True,True,driver,Rural,YouTube,144,8,ASMR,29,26,23,58,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
39,Female,India,50933,True,False,driver,Rural,TikTok,194,13,Gaming,23,26,47,41,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At school,Mobile Data
44,Female,Barzil,25774,False,True,Cashier,Rural,Facebook,149,19,Pranks,13,10,32,44,Night,3,7,Habit,Computer,iOS,9:00 PM,5,5,At school,Mobile Data
52,Male,Mexico,92055,True,False,Labor/Worker,Rural,Facebook,115,1,Pranks,8,17,10,4,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi
18,Other,Philippines,30983,False,True,Waiting staff,Rural,Facebook,142,11,Vlogs,17,21,27,77,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Wi-Fi
52,Female,Indonesia,38133,False,False,Students,Urban,TikTok,117,1,Jokes/Memes,22,14,49,68,Evening,6,4,Habit,Tablet,MacOS,2:00 PM,8,2,At home,Wi-Fi
54,Male,United States,34939,False,True,driver,Urban,Facebook,187,8,Vlogs,23,2,1,7,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
64,Male,Indonesia,20781,False,False,Artist,Rural,Instagram,155,5,Life Hacks,14,16,39,46,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
31,Female,India,76700,True,True,Waiting staff,Rural,Instagram,83,17,ASMR,27,13,29,9,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,Commuting,Mobile Data
20,Male,India,47624,False,False,Students,Rural,Instagram,117,8,Vlogs,21,27,45,87,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
18,Female,Barzil,26823,False,True,driver,Rural,Instagram,131,10,Entertainment,21,9,3,33,Afternoon,5,5,Procrastination,Smartphone,Windows,5:00 PM,7,3,At home,Mobile Data
22,Female,Barzil,38489,False,False,Manager,Rural,YouTube,26,2,Life Hacks,7,7,47,33,Evening,6,4,Entertainment,Computer,iOS,2:00 PM,8,2,At home,Mobile Data
43,Female,Pakistan,59961,True,True,Cashier,Rural,Instagram,205,9,Trends,27,16,37,84,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
31,Female,Germany,49118,False,False,Labor/Worker,Rural,Facebook,261,3,Entertainment,15,10,31,4,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
56,Male,Pakistan,42263,False,True,Students,Rural,TikTok,128,18,Life Hacks,16,24,11,65,Morning,8,2,Boredom,Tablet,Android,8:00 AM,10,0,Commuting,Mobile Data
44,Male,India,33565,False,False,Students,Rural,Facebook,171,7,Life Hacks,19,22,22,34,Afternoon,5,5,Procrastination,Computer,Windows,5:00 PM,7,3,At school,Wi-Fi
26,Female,India,40354,False,True,Students,Rural,Instagram,207,15,Jokes/Memes,6,9,18,91,Afternoon,5,5,Habit,Tablet,iOS,5:00 PM,7,3,At work,Mobile Data
32,Male,India,62951,True,True,Engineer,Urban,YouTube,54,18,Gaming,23,22,35,85,Evening,6,4,Procrastination,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
32,Female,Pakistan,43648,False,True,Engineer,Rural,Instagram,188,3,Life Hacks,1,23,6,88,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At school,Mobile Data
43,Female,Mexico,70729,True,True,Engineer,Urban,TikTok,53,14,Pranks,12,7,3,79,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data
59,Male,Mexico,61971,True,False,Waiting staff,Rural,Facebook,280,2,Life Hacks,18,16,5,99,Morning,8,2,Entertainment,Smartphone,Android,8:00 AM,10,0,At work,Mobile Data
30,Other,India,38658,False,True,Engineer,Rural,TikTok,87,14,Life Hacks,16,9,9,64,Evening,6,4,Habit,Tablet,iOS,2:00 PM,8,2,Commuting,Mobile Data
49,Male,Vietnam,41253,False,False,Waiting staff,Rural,TikTok,187,11,Life Hacks,12,27,28,25,Night,3,7,Procrastination,Smartphone,iOS,9:00 PM,5,5,At work,Mobile Data
