Age,Income,HasDebt,OwnsProperty,Profession,Demographics,Platform,MinutesSpent,NumSessions,Genre,VideoLength,VideoTime,NumVideos,TimeOfDay,ProductivityLoss,WatchReason,Device,OS,CurrentActivity,Connection,BinnedProdLoss
52,68330,True,False,Labor,Rural,YouTube,213,6,Memes,28,20,39,Afternoon,5,Entertainment,Smartphone,Android,School,MobileData,Medium
31,86707,True,True,WaitStaff,Rural,Facebook,205,5,Entertainment,26,15,26,Afternoon,5,Habit,Smartphone,Android,Home,MobileData,Medium
34,97454,True,False,WaitStaff,Rural,Facebook,225,3,Vlogs,15,7,8,Night,3,Entertainment,Tablet,Android,School,MobileData,Low
53,85428,True,False,Driver,Urban,TikTok,294,12,LifeHacks,6,26,24,Night,3,Habit,Smartphone,iOS,Home,MobileData,Low
57,70601,True,True,Driver,Rural,YouTube,205,15,Entertainment,27,17,8,Afternoon,5,Entertainment,Smartphone,iOS,Home,WiFi,Medium
21,97465,True,True,WaitStaff,Urban,Facebook,161,10,Memes,26,22,19,Afternoon,5,Procrastination,Smartphone,Android,Commuting,WiFi,Medium
19,22539,False,True,WaitStaff,Rural,Facebook,23,19,Entertainment,4,22,47,Evening,6,Habit,Computer,Android,School,MobileData,Medium
23,42669,False,False,Students,Rural,Instagram,155,16,ASMR,8,22,48,Evening,6,Boredom,Computer,iOS,Commuting,WiFi,Medium
59,90968,True,False,Teacher,Rural,Facebook,66,11,LifeHacks,19,12,30,Afternoon,5,Entertainment,Smartphone,Android,School,MobileData,Medium
21,40644,False,False,Teacher,Rural,TikTok,220,8,LifeHacks,27,18,22,Afternoon,5,Habit,Smartphone,MacOS,Home,MobileData,Medium
46,38745,False,True,Cashier,Rural,YouTube,277,3,Gaming,5,24,9,Evening,6,Boredom,Smartphone,Android,Commuting,MobileData,Medium
35,48228,False,False,Students,Rural,Facebook,219,7,Trends,13,14,44,Evening,6,Boredom,Smartphone,MacOS,Home,MobileData,Medium
43,54521,True,False,Artist,Rural,Instagram,26,7,LifeHacks,16,15,48,Night,3,Habit,Smartphone,MacOS,Home,WiFi,Low
61,46928,False,False,Students,Rural,YouTube,295,14,Gaming,1,15,4,Evening,6,Habit,Computer,Android,Home,MobileData,Medium
51,38322,False,False,Students,Rural,Facebook,212,2,Pranks,13,5,37,Afternoon,5,Entertainment,Tablet,iOS,School,MobileData,Medium
27,77714,True,True,Labor,Urban,Instagram,108,10,LifeHacks,22,16,8,Night,3,Boredom,Smartphone,Windows,Home,WiFi,Low
53,82292,True,False,Engineer,Rural,Facebook,288,19,Comedy,11,5,1,Evening,6,Entertainment,Computer,Windows,School,MobileData,Medium
31,49055,False,True,WaitStaff,Urban,YouTube,218,9,Memes,21,2,28,Night,3,Boredom,Smartphone,Android,Home,MobileData,Low
48,62891,True,False,Driver,Rural,YouTube,138,16,Memes,8,20,6,Night,3,Procrastination,Computer,MacOS,School,MobileData,Low
32,26588,False,True,Labor,Rural,YouTube,297,19,Memes,25,28,47,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
25,26304,False,False,Driver,Rural,TikTok,261,18,Pranks,8,25,36,Night,3,Procrastination,Smartphone,Android,Commuting,WiFi,Low
31,27345,False,True,Labor,Rural,Facebook,274,9,LifeHacks,24,9,11,Afternoon,5,Procrastination,Tablet,Android,Commuting,MobileData,Medium
40,49300,False,False,Labor,Rural,TikTok,280,16,Vlogs,28,22,5,Evening,6,Boredom,Smartphone,iOS,School,WiFi,Medium
57,44259,False,True,Driver,Rural,YouTube,197,13,Memes,14,27,24,Night,3,Habit,Tablet,Windows,School,MobileData,Low
38,35352,False,False,Driver,Rural,Instagram,223,10,Gaming,13,9,47,Evening,6,Habit,Smartphone,Android,Home,MobileData,Medium
33,53365,True,True,Labor,Urban,Facebook,292,14,Memes,3,4,18,Afternoon,5,Entertainment,Smartphone,Android,School,MobileData,Medium
62,39446,False,False,Students,Rural,TikTok,220,12,Pranks,4,15,20,Evening,6,Entertainment,Smartphone,MacOS,Commuting,MobileData,Medium
35,22336,False,True,WaitStaff,Urban,Facebook,85,19,Entertainment,27,11,28,Afternoon,5,Boredom,Smartphone,Android,Work,MobileData,Medium
64,82032,True,False,Labor,Urban,Instagram,157,7,Memes,20,1,13,Night,3,Boredom,Tablet,iOS,Home,WiFi,Low
41,95415,True,True,WaitStaff,Rural,TikTok,222,15,LifeHacks,15,18,5,Night,3,Entertainment,Smartphone,iOS,Home,WiFi,Low
43,27521,False,False,Engineer,Rural,YouTube,118,16,Trends,15,29,30,Night,3,Habit,Computer,iOS,Home,WiFi,Low
42,91707,True,True,Manager,Rural,TikTok,138,8,LifeHacks,27,1,1,Night,3,Entertainment,Computer,MacOS,Home,MobileData,Low
62,43481,False,False,Students,Rural,Facebook,19,10,Memes,21,8,22,Night,3,Boredom,Smartphone,MacOS,Work,MobileData,Low
58,38474,False,True,WaitStaff,Rural,Facebook,56,4,Memes,13,25,18,Night,3,Entertainment,Smartphone,Android,School,WiFi,Low
46,66760,True,False,WaitStaff,Rural,Facebook,105,19,Memes,9,16,46,Afternoon,5,Boredom,Tablet,Android,School,MobileData,Medium
32,75718,True,True,Students,Rural,Facebook,112,19,Memes,28,26,5,Night,3,Boredom,Smartphone,iOS,Commuting,WiFi,Low
62,64629,True,False,Students,Rural,YouTube,155,15,Trends,25,28,31,Night,3,Habit,Smartphone,Android,School,MobileData,Low
18,65232,True,True,Driver,Rural,TikTok,36,14,Vlogs,10,22,6,Night,3,Boredom,Tablet,iOS,Work,WiFi,Low
42,87169,True,True,Manager,Rural,YouTube,229,1,LifeHacks,29,18,27,Evening,6,Habit,Computer,iOS,Work,WiFi,Medium
24,70669,True,True,Students,Rural,YouTube,27,16,Memes,12,22,25,Morning,8,Habit,Smartphone,Android,Home,WiFi,High
26,98021,True,True,Students,Urban,YouTube,176,10,ASMR,14,9,29,Evening,6,Boredom,Smartphone,iOS,Home,WiFi,Medium
41,89184,True,False,WaitStaff,Urban,Facebook,91,19,Memes,1,12,28,Afternoon,5,Entertainment,Tablet,Android,Work,MobileData,Medium
18,67945,True,True,Engineer,Rural,Facebook,81,3,ASMR,14,19,16,Night,3,Entertainment,Smartphone,Android,Work,WiFi,Low
61,33140,False,False,WaitStaff,Urban,Facebook,263,5,Pranks,14,25,12,Evening,6,Boredom,Tablet,iOS,Home,WiFi,Medium
25,34357,False,False,Engineer,Rural,TikTok,171,9,Vlogs,8,18,20,Afternoon,5,Boredom,Tablet,Android,Work,WiFi,Medium
41,88673,True,False,WaitStaff,Rural,Instagram,47,18,Memes,16,27,18,Night,3,Boredom,Smartphone,iOS,Commuting,MobileData,Low
28,85633,True,False,Engineer,Urban,Facebook,210,11,Memes,14,5,34,Night,3,Entertainment,Smartphone,Android,School,WiFi,Low
34,96943,True,False,Engineer,Rural,TikTok,209,16,Gaming,1,27,23,Night,3,Habit,Tablet,Windows,Work,MobileData,Low
25,98258,True,True,Driver,Urban,Facebook,264,2,Gaming,16,2,45,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
52,32924,False,False,Labor,Rural,Facebook,188,12,Comedy,18,7,27,Evening,6,Entertainment,Smartphone,iOS,Home,MobileData,Medium
52,89286,True,False,Labor,Urban,YouTube,44,6,Memes,7,27,49,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
50,94071,True,True,WaitStaff,Rural,YouTube,91,11,Pranks,15,10,17,Night,3,Entertainment,Smartphone,Windows,Work,WiFi,Low
22,77326,True,True,Artist,Rural,YouTube,229,8,Gaming,24,15,48,Evening,6,Entertainment,Computer,Android,Home,WiFi,Medium
59,50651,True,True,Labor,Rural,TikTok,167,12,Memes,17,25,21,Night,3,Procrastination,Tablet,Android,Work,MobileData,Low
56,90202,True,False,WaitStaff,Rural,Instagram,13,2,Memes,19,7,40,Night,3,Entertainment,Smartphone,iOS,Home,WiFi,Low
58,68777,True,False,Labor,Rural,Instagram,176,9,Pranks,23,28,31,Evening,6,Habit,Smartphone,Android,Home,WiFi,Medium
45,36994,False,False,Labor,Rural,TikTok,213,15,Memes,13,5,3,Evening,6,Procrastination,Smartphone,Android,Work,MobileData,Medium
24,87263,True,True,Teacher,Rural,Facebook,203,2,Memes,9,15,17,Evening,6,Boredom,Computer,Windows,Home,WiFi,Medium
26,79634,True,False,Students,Rural,TikTok,244,1,Entertainment,24,20,26,Night,3,Habit,Smartphone,Android,School,MobileData,Low
25,30800,False,False,Students,Urban,Facebook,215,10,LifeHacks,24,28,23,Night,3,Boredom,Smartphone,iOS,School,MobileData,Low
29,57823,True,False,Cashier,Rural,TikTok,159,2,Entertainment,15,20,6,Evening,6,Habit,Smartphone,Android,Work,WiFi,Medium
51,83878,True,False,Driver,Rural,TikTok,168,12,LifeHacks,25,15,28,Evening,6,Habit,Smartphone,iOS,Work,WiFi,Medium
50,38708,False,True,Labor,Rural,TikTok,288,8,LifeHacks,26,10,8,Evening,6,Habit,Smartphone,Android,Work,MobileData,Medium
40,32819,False,False,Engineer,Rural,Instagram,175,5,Gaming,3,24,45,Night,3,Habit,Smartphone,Android,Home,WiFi,Low
41,94905,True,True,Labor,Rural,YouTube,77,1,LifeHacks,24,26,8,Night,3,Habit,Tablet,Android,Work,MobileData,Low
54,83870,True,False,Labor,Rural,TikTok,97,15,Gaming,1,29,19,Night,3,Habit,Tablet,iOS,Home,MobileData,Low
52,29283,False,True,Artist,Urban,Instagram,226,6,Trends,16,26,38,Evening,6,Habit,Smartphone,iOS,Commuting,MobileData,Medium
61,50573,True,False,WaitStaff,Rural,YouTube,10,12,Comedy,8,14,29,Evening,6,Boredom,Smartphone,Windows,Home,WiFi,Medium
57,98707,True,True,Driver,Rural,YouTube,144,8,ASMR,29,26,23,Night,3,Boredom,Smartphone,iOS,Home,WiFi,Low
39,50933,True,False,Driver,Rural,TikTok,194,13,Gaming,23,26,47,Evening,6,Entertainment,Tablet,Android,School,MobileData,Medium
44,25774,False,True,Cashier,Rural,Facebook,149,19,Pranks,13,10,32,Night,3,Habit,Computer,iOS,School,MobileData,Low
52,92055,True,False,Labor,Rural,Facebook,115,1,Pranks,8,17,10,Night,3,Boredom,Smartphone,Android,School,WiFi,Low
18,30983,False,True,WaitStaff,Rural,Facebook,142,11,Vlogs,17,21,27,Afternoon,5,Entertainment,Smartphone,Android,School,WiFi,Medium
52,38133,False,False,Students,Urban,TikTok,117,1,Memes,22,14,49,Evening,6,Habit,Tablet,MacOS,Home,WiFi,Medium
54,34939,False,True,Driver,Urban,Facebook,187,8,Vlogs,23,2,1,Evening,6,Habit,Smartphone,Android,Home,MobileData,Medium
64,20781,False,False,Artist,Rural,Instagram,155,5,LifeHacks,14,16,39,Night,3,Procrastination,Smartphone,Android,Home,MobileData,Low
31,76700,True,True,WaitStaff,Rural,Instagram,83,17,ASMR,27,13,29,Night,3,Entertainment,Tablet,Android,Commuting,MobileData,Low
20,47624,False,False,Students,Rural,Instagram,117,8,Vlogs,21,27,45,Afternoon,5,Entertainment,Smartphone,Android,School,MobileData,Medium
18,26823,False,True,Driver,Rural,Instagram,131,10,Entertainment,21,9,3,Afternoon,5,Procrastination,Smartphone,Windows,Home,MobileData,Medium
22,38489,False,False,Manager,Rural,YouTube,26,2,LifeHacks,7,7,47,Evening,6,Entertainment,Computer,iOS,Home,MobileData,Medium
43,59961,True,True,Cashier,Rural,Instagram,205,9,Trends,27,16,37,Night,3,Boredom,Smartphone,Android,Home,MobileData,Low
31,49118,False,False,Labor,Rural,Facebook,261,3,Entertainment,15,10,31,Night,3,Entertainment,Tablet,Android,Work,MobileData,Low
56,42263,False,True,Students,Rural,TikTok,128,18,LifeHacks,16,24,11,Morning,8,Boredom,Tablet,Android,Commuting,MobileData,High
44,33565,False,False,Students,Rural,Facebook,171,7,LifeHacks,19,22,22,Afternoon,5,Procrastination,Computer,Windows,School,WiFi,Medium
26,40354,False,True,Students,Rural,Instagram,207,15,Memes,6,9,18,Afternoon,5,Habit,Tablet,iOS,Work,MobileData,Medium
32,62951,True,True,Engineer,Urban,YouTube,54,18,Gaming,23,22,35,Evening,6,Procrastination,Smartphone,Android,Home,MobileData,Medium
32,43648,False,True,Engineer,Rural,Instagram,188,3,LifeHacks,1,23,6,Evening,6,Habit,Smartphone,Android,School,MobileData,Medium
43,70729,True,True,Engineer,Urban,TikTok,53,14,Pranks,12,7,3,Night,3,Entertainment,Smartphone,Android,Commuting,MobileData,Low
59,61971,True,False,WaitStaff,Rural,Facebook,280,2,LifeHacks,18,16,5,Morning,8,Entertainment,Smartphone,Android,Work,MobileData,High
30,38658,False,True,Engineer,Rural,TikTok,87,14,LifeHacks,16,9,9,Evening,6,Habit,Tablet,iOS,Commuting,MobileData,Medium
49,41253,False,False,WaitStaff,Rural,TikTok,187,11,LifeHacks,12,27,28,Night,3,Procrastination,Smartphone,iOS,Work,MobileData,Low
56,84166,True,False,Labor,Urban,TikTok,12,16,Memes,20,24,19,Morning,8,Procrastination,Smartphone,Android,Home,WiFi,High
49,68563,True,False,Engineer,Rural,Facebook,223,8,Vlogs,13,29,28,Evening,6,Boredom,Smartphone,iOS,Home,WiFi,Medium
21,46390,False,False,Cashier,Rural,Instagram,83,7,Trends,8,17,27,Evening,6,Habit,Smartphone,iOS,School,MobileData,Medium
47,71578,True,False,Artist,Urban,TikTok,60,11,Entertainment,27,20,13,Afternoon,5,Habit,Smartphone,Android,Home,MobileData,Medium
54,99025,True,True,Driver,Rural,Facebook,76,3,Gaming,29,7,38,Night,3,Habit,Tablet,Android,Home,MobileData,Low
40,52658,True,False,Students,Rural,YouTube,102,17,LifeHacks,26,11,43,Evening,6,Entertainment,Smartphone,Windows,Home,MobileData,Medium
56,26852,False,False,WaitStaff,Urban,Facebook,185,14,Trends,22,8,21,Afternoon,5,Habit,Smartphone,iOS,Home,MobileData,Medium
62,22551,False,True,Students,Urban,YouTube,154,6,Entertainment,1,7,27,Night,3,Boredom,Smartphone,Android,School,MobileData,Low
32,91947,True,True,Students,Urban,Facebook,16,8,Vlogs,26,28,46,Afternoon,5,Boredom,Smartphone,MacOS,Home,MobileData,Medium
60,81001,True,True,Students,Rural,Instagram,278,5,Pranks,21,19,6,Night,3,Boredom,Smartphone,MacOS,Work,WiFi,Low
46,69159,True,False,Driver,Rural,TikTok,13,8,Pranks,7,20,38,Night,3,Boredom,Tablet,Android,School,MobileData,Low
53,71707,True,False,Manager,Rural,Instagram,147,2,Memes,15,12,49,Evening,6,Procrastination,Computer,iOS,School,MobileData,Medium
30,53243,True,False,Students,Rural,Facebook,240,15,Memes,29,7,11,Evening,6,Entertainment,Smartphone,Android,Commuting,MobileData,Medium
49,41800,False,True,WaitStaff,Rural,TikTok,97,12,LifeHacks,22,8,47,Afternoon,5,Entertainment,Tablet,Android,Work,WiFi,Medium
24,95939,True,False,Labor,Urban,YouTube,26,17,Trends,13,7,41,Afternoon,5,Habit,Smartphone,iOS,Home,WiFi,Medium
39,77828,True,False,Students,Rural,Facebook,61,1,Gaming,13,6,17,Night,3,Boredom,Smartphone,Windows,Work,MobileData,Low
45,27239,False,False,Manager,Rural,TikTok,143,15,Entertainment,28,25,39,Evening,6,Entertainment,Smartphone,Windows,Home,MobileData,Medium
19,26710,False,False,Cashier,Urban,YouTube,220,14,Memes,9,9,7,Evening,6,Boredom,Smartphone,MacOS,Commuting,MobileData,Medium
59,41384,False,True,Engineer,Urban,YouTube,228,16,Entertainment,24,27,30,Afternoon,5,Entertainment,Smartphone,Android,Work,MobileData,Medium
62,41038,False,False,Labor,Rural,Instagram,214,9,Gaming,15,13,21,Evening,6,Habit,Computer,Windows,School,MobileData,Medium
23,60846,True,True,Students,Urban,Facebook,220,1,Gaming,4,7,1,Evening,6,Entertainment,Tablet,iOS,School,WiFi,Medium
45,87821,True,False,WaitStaff,Rural,YouTube,286,17,Trends,13,8,25,Afternoon,5,Habit,Smartphone,MacOS,Work,MobileData,Medium
45,57991,True,True,Labor,Rural,TikTok,33,13,Trends,27,22,32,Afternoon,5,Entertainment,Smartphone,Windows,Home,MobileData,Medium
61,99057,True,False,Driver,Rural,YouTube,13,5,LifeHacks,12,17,8,Afternoon,5,Habit,Smartphone,iOS,School,WiFi,Medium
61,26971,False,True,Students,Rural,YouTube,161,10,Memes,5,17,5,Night,3,Entertainment,Tablet,Android,Work,MobileData,Low
37,49139,False,False,Cashier,Rural,Instagram,268,6,Entertainment,7,16,30,Night,3,Habit,Smartphone,Android,Work,MobileData,Low
47,97067,True,True,Cashier,Rural,Instagram,177,19,Gaming,8,22,8,Evening,6,Entertainment,Tablet,Android,Home,MobileData,Medium
28,57711,True,False,Students,Urban,TikTok,185,13,ASMR,5,2,49,Night,3,Entertainment,Smartphone,MacOS,Commuting,WiFi,Low
45,26530,False,True,Teacher,Urban,Instagram,65,1,LifeHacks,9,8,19,Evening,6,Habit,Smartphone,Android,Work,MobileData,Medium
42,31116,False,False,WaitStaff,Rural,YouTube,117,15,ASMR,14,17,44,Morning,8,Boredom,Smartphone,Android,Home,WiFi,High
56,85794,True,True,Labor,Rural,YouTube,150,14,Trends,26,13,30,Evening,6,Boredom,Tablet,MacOS,School,MobileData,Medium
50,20282,False,False,Driver,Urban,Instagram,164,8,Trends,12,18,15,Afternoon,5,Habit,Smartphone,Android,Work,MobileData,Medium
18,99473,True,True,WaitStaff,Urban,YouTube,271,10,Vlogs,4,24,36,Afternoon,5,Entertainment,Smartphone,iOS,Home,MobileData,Medium
44,21898,False,False,Engineer,Rural,YouTube,282,9,LifeHacks,20,28,44,Evening,6,Procrastination,Computer,iOS,School,MobileData,Medium
30,24135,False,True,Driver,Rural,TikTok,241,17,LifeHacks,29,22,27,Evening,6,Procrastination,Tablet,Android,School,MobileData,Medium
58,26629,False,False,Labor,Rural,Instagram,250,9,Memes,8,28,13,Evening,6,Habit,Smartphone,iOS,School,WiFi,Medium
20,85031,True,True,Cashier,Rural,YouTube,267,3,ASMR,17,10,14,Evening,6,Habit,Tablet,MacOS,School,MobileData,Medium
56,53380,True,False,Labor,Rural,Instagram,258,11,Pranks,8,2,37,Night,3,Entertainment,Smartphone,MacOS,Home,WiFi,Low
23,37071,False,True,Labor,Urban,TikTok,86,12,Memes,21,2,48,Evening,6,Entertainment,Smartphone,iOS,Work,MobileData,Medium
25,40074,False,False,Artist,Rural,Instagram,189,10,Entertainment,29,27,30,Afternoon,5,Procrastination,Tablet,Android,Home,MobileData,Medium
44,87843,True,True,WaitStaff,Urban,YouTube,75,17,LifeHacks,27,14,39,Morning,8,Procrastination,Smartphone,Android,Work,MobileData,High
26,59901,True,True,Driver,Rural,Instagram,180,17,Entertainment,1,16,47,Morning,8,Entertainment,Smartphone,Windows,Commuting,WiFi,High
54,31205,False,True,Teacher,Rural,YouTube,31,11,Pranks,20,7,13,Morning,8,Habit,Smartphone,Android,Home,MobileData,High
50,75661,True,True,Engineer,Rural,YouTube,116,4,Entertainment,2,21,16,Evening,6,Boredom,Smartphone,Android,Work,WiFi,Medium
59,25906,False,False,Driver,Rural,YouTube,236,7,LifeHacks,4,21,44,Evening,6,Entertainment,Smartphone,iOS,Home,WiFi,Medium
61,22591,False,True,WaitStaff,Urban,TikTok,225,14,Memes,24,24,7,Evening,6,Habit,Smartphone,iOS,Home,WiFi,Medium
41,82987,True,True,Labor,Rural,Instagram,78,7,Vlogs,21,12,48,Afternoon,5,Entertainment,Smartphone,MacOS,Home,MobileData,Medium
32,83370,True,True,Teacher,Urban,TikTok,93,8,Trends,1,28,27,Evening,6,Habit,Tablet,Android,School,WiFi,Medium
49,74400,True,False,WaitStaff,Rural,Instagram,112,1,LifeHacks,7,23,45,Evening,6,Habit,Tablet,Android,Home,MobileData,Medium
49,45150,False,True,WaitStaff,Rural,TikTok,48,4,Memes,1,28,35,Evening,6,Habit,Smartphone,Android,Home,MobileData,Medium
