Time,Reason,Activity,Productivity_Loss,Recommendation
Evening,Habit,Commuting,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Habit,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Habit,School,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Habit,School,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Habit,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Habit,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Habit,Home,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Habit,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Habit,Work,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Habit,Work,High,Frequent social media use at work can hurt performance. Try app blockers or scheduled breaks to stay on track.
Evening,Entertainment,Commuting,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Entertainment,Commuting,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Entertainment,Commuting,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Entertainment,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Entertainment,School,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Entertainment,School,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Entertainment,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Entertainment,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Entertainment,Home,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Entertainment,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Entertainment,Work,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Entertainment,Work,High,Frequent social media use at work can hurt performance. Try app blockers or scheduled breaks to stay on track.
Evening,Boredom,Commuting,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Boredom,Commuting,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Boredom,Commuting,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Boredom,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Boredom,School,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Boredom,School,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Boredom,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Boredom,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Boredom,Home,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Evening,Boredom,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Evening,Boredom,Work,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Evening,Boredom,Work,High,Frequent social media use at work can hurt performance. Try app blockers or scheduled breaks to stay on track.
Morning,Procrastination,Commuting,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Procrastination,Commuting,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Procrastination,Commuting,High,"Using social media to procrastinate often backfires. Tackle small tasks first to build momentum, then reward yourself with a short break."
Morning,Procrastination,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Procrastination,School,Medium,Social media can delay your focus. Use the Pomodoro technique to balance short breaks with deep work.
Morning,Procrastination,School,High,"Using social media to procrastinate often backfires. Tackle small tasks first to build momentum, then reward yourself with a short break."
Morning,Procrastination,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Procrastination,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Procrastination,Home,High,"Using social media to procrastinate often backfires. Tackle small tasks first to build momentum, then reward yourself with a short break."
Morning,Procrastination,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Procrastination,Work,Medium,Social media can delay your focus. Use the Pomodoro technique to balance short breaks with deep work.
Morning,Procrastination,Work,High,"Using social media to procrastinate often backfires. Tackle small tasks first to build momentum, then reward yourself with a short break."
Morning,Habit,Commuting,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Habit,Commuting,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Habit,Commuting,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Habit,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Habit,School,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Habit,School,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Habit,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Habit,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Habit,Home,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Habit,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Habit,Work,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Habit,Work,High,Frequent social media use at work can hurt performance. Try app blockers or scheduled breaks to stay on track.
Morning,Entertainment,Commuting,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Entertainment,Commuting,Medium,"Morning entertainment is fine, but opt for podcasts or audiobooks to stay engaged and sharp."
Morning,Entertainment,Commuting,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Entertainment,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Entertainment,School,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Entertainment,School,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Entertainment,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Entertainment,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Entertainment,Home,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Entertainment,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Entertainment,Work,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Entertainment,Work,High,Frequent social media use at work can hurt performance. Try app blockers or scheduled breaks to stay on track.
Morning,Boredom,Commuting,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Boredom,Commuting,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Boredom,Commuting,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Boredom,School,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Boredom,School,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Boredom,School,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Boredom,Home,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Boredom,Home,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Boredom,Home,High,Social media is taking a toll on your productivity. Consider tracking your usage and building in alternative activities like short walks or journaling.
Morning,Boredom,Work,Low,Your current usage pattern seems balanced. Keep being mindful of your habits!
Morning,Boredom,Work,Medium,Try setting intentional time limits to keep social media use from creeping into your day.
Morning,Boredom,Work,High,Frequent social media use at work can hurt performance. Try app blockers or scheduled breaks to stay on track.
