Age,Gender,Country,Income,HasDebt,OwnsProperty,Demographics,Platform,MinutesSpent,NumSessions,NumVideos,ScrollRate,TimeOfDay,ProductivityLoss,Satisfaction,WatchReason,SelfControl,AddictionLevel,CurrentActivity,BinnedProdLoss
19,Female,Indonesia,87155,True,False,Rural,Instagram,242,10,48,40,Night,3,7,Boredom,5,5,At work,Low
38,Female,India,33975,False,False,Urban,Facebook,49,3,23,85,Evening,6,4,Habit,8,2,At home,Medium
50,Male,Germany,82424,True,True,Rural,TikTok,162,10,15,31,Evening,6,4,Boredom,8,2,At home,Medium
29,Male,Japan,65603,True,False,Urban,TikTok,136,18,46,48,Afternoon,5,5,Entertainment,7,3,At school,Medium
39,Male,Japan,43252,False,True,Rural,YouTube,246,14,44,61,Evening,6,4,Habit,8,2,Commuting,Medium
61,Other,Vietnam,21431,False,False,Urban,Instagram,64,18,3,52,Night,3,7,Habit,5,5,At home,Low
42,Female,India,94603,True,True,Rural,TikTok,181,8,32,38,Evening,6,4,Boredom,8,2,At work,Medium
44,Male,India,57481,True,False,Urban,TikTok,118,10,10,91,Evening,6,4,Entertainment,8,2,At home,Medium
59,Male,United States,29557,False,True,Rural,Instagram,193,13,40,36,Morning,8,2,Habit,10,0,At school,High
45,Male,United States,94971,True,False,Rural,Facebook,207,8,38,87,Afternoon,5,5,Habit,7,3,At home,Medium
33,Male,India,20162,False,True,Rural,Instagram,96,4,22,55,Night,3,7,Boredom,5,5,Commuting,Low
32,Other,Mexico,54742,True,False,Rural,Facebook,210,4,14,85,Evening,6,4,Entertainment,8,2,At work,Medium
64,Female,Vietnam,39675,False,True,Rural,TikTok,284,5,17,13,Evening,6,4,Entertainment,8,2,At school,Medium
61,Other,Mexico,93997,True,False,Urban,TikTok,220,1,21,37,Night,3,7,Procrastination,5,5,At home,Low
20,Male,United States,37015,False,True,Rural,TikTok,127,17,48,47,Night,3,7,Entertainment,5,5,At home,Low
54,Male,Philippines,70057,True,False,Urban,YouTube,200,2,15,90,Afternoon,5,5,Boredom,7,3,At school,Medium
24,Male,Brazil,52591,True,True,Rural,YouTube,51,8,15,71,Night,3,7,Habit,5,5,At home,Low
38,Male,Germany,29833,False,False,Rural,YouTube,51,7,1,22,Afternoon,5,5,Boredom,7,3,Commuting,Medium
26,Male,Pakistan,27896,False,True,Urban,Instagram,285,15,24,39,Evening,6,4,Boredom,8,2,At work,Medium
56,Male,India,52972,True,False,Urban,TikTok,26,5,12,87,Evening,6,4,Habit,8,2,At school,Medium
35,Other,Indonesia,69733,True,True,Rural,TikTok,292,2,10,58,Morning,8,2,Entertainment,10,0,At home,High
21,Female,Pakistan,61800,True,False,Rural,Instagram,267,7,46,30,Night,3,7,Entertainment,5,5,At school,Low
42,Other,Philippines,25347,False,True,Urban,YouTube,72,8,42,18,Evening,6,4,Boredom,8,2,Commuting,Medium
31,Female,Pakistan,79063,True,False,Rural,Instagram,71,7,42,18,Evening,6,4,Procrastination,8,2,At home,Medium
26,Male,Vietnam,22643,False,True,Rural,YouTube,109,7,31,74,Afternoon,5,5,Procrastination,7,3,At school,Medium
43,Male,Japan,60785,True,True,Rural,TikTok,28,14,11,39,Night,3,7,Entertainment,5,5,At work,Low
19,Female,India,38681,False,True,Rural,Facebook,26,18,16,94,Evening,6,4,Boredom,8,2,At school,Medium
37,Male,United States,70026,True,True,Urban,YouTube,255,6,9,26,Afternoon,5,5,Procrastination,7,3,At home,Medium
45,Female,United States,35892,False,False,Rural,TikTok,260,4,47,71,Afternoon,5,5,Entertainment,7,3,At home,Medium
64,Other,Mexico,67299,True,True,Rural,TikTok,90,10,14,7,Evening,6,4,Entertainment,8,2,At home,Medium
24,Male,Germany,37073,False,False,Rural,Facebook,48,18,19,69,Evening,6,4,Boredom,8,2,Commuting,Medium
61,Male,Vietnam,50682,True,False,Rural,TikTok,45,12,31,65,Afternoon,5,5,Procrastination,7,3,At work,Medium
25,Other,India,34289,False,False,Rural,TikTok,206,16,9,46,Evening,6,4,Habit,8,2,At home,Medium
64,Male,Japan,27927,False,False,Rural,YouTube,167,7,36,18,Night,3,7,Boredom,5,5,At home,Low
52,Male,Indonesia,68330,True,False,Rural,YouTube,213,6,39,13,Afternoon,5,5,Entertainment,7,3,At school,Medium
31,Male,United States,86707,True,True,Rural,Facebook,205,5,26,25,Afternoon,5,5,Habit,7,3,At home,Medium
34,Male,Vietnam,97454,True,False,Rural,Facebook,225,3,8,8,Night,3,7,Entertainment,5,5,At school,Low
53,Male,Japan,85428,True,False,Urban,TikTok,294,12,24,74,Night,3,7,Habit,5,5,At home,Low
57,Female,Germany,70601,True,True,Rural,YouTube,205,15,8,32,Afternoon,5,5,Entertainment,7,3,At home,Medium
21,Other,United States,97465,True,True,Urban,Facebook,161,10,19,17,Afternoon,5,5,Procrastination,7,3,Commuting,Medium
19,Male,United States,22539,False,True,Rural,Facebook,23,19,47,79,Evening,6,4,Habit,8,2,At school,Medium
23,Male,Vietnam,42669,False,False,Rural,Instagram,155,16,48,79,Evening,6,4,Boredom,8,2,Commuting,Medium
59,Male,United States,90968,True,False,Rural,Facebook,66,11,30,48,Afternoon,5,5,Entertainment,7,3,At school,Medium
21,Other,India,40644,False,False,Rural,TikTok,220,8,22,63,Afternoon,5,5,Habit,7,3,At home,Medium
46,Other,India,38745,False,True,Rural,YouTube,277,3,9,40,Evening,6,4,Boredom,8,2,Commuting,Medium
35,Male,Mexico,48228,False,False,Rural,Facebook,219,7,44,84,Evening,6,4,Boredom,8,2,At home,Medium
43,Male,Vietnam,54521,True,False,Rural,Instagram,26,7,48,15,Night,3,7,Habit,5,5,At home,Low
61,Female,Mexico,46928,False,False,Rural,YouTube,295,14,4,99,Evening,6,4,Habit,8,2,At home,Medium
51,Female,Vietnam,38322,False,False,Rural,Facebook,212,2,37,6,Afternoon,5,5,Entertainment,7,3,At school,Medium
27,Male,Indonesia,77714,True,True,Urban,Instagram,108,10,8,94,Night,3,7,Boredom,5,5,At home,Low
53,Male,Vietnam,82292,True,False,Rural,Facebook,288,19,1,63,Evening,6,4,Entertainment,8,2,At school,Medium
31,Female,Germany,49055,False,True,Urban,YouTube,218,9,28,8,Night,3,7,Boredom,5,5,At home,Low
48,Other,Philippines,62891,True,False,Rural,YouTube,138,16,6,95,Night,3,7,Procrastination,5,5,At school,Low
32,Male,United States,26588,False,True,Rural,YouTube,297,19,47,32,Night,3,7,Habit,5,5,At home,Low
25,Female,India,26304,False,False,Rural,TikTok,261,18,36,45,Night,3,7,Procrastination,5,5,Commuting,Low
31,Male,India,27345,False,True,Rural,Facebook,274,9,11,52,Afternoon,5,5,Procrastination,7,3,Commuting,Medium
40,Other,Japan,49300,False,False,Rural,TikTok,280,16,5,79,Evening,6,4,Boredom,8,2,At school,Medium
57,Male,United States,44259,False,True,Rural,YouTube,197,13,24,82,Night,3,7,Habit,5,5,At school,Low
38,Male,United States,35352,False,False,Rural,Instagram,223,10,47,13,Evening,6,4,Habit,8,2,At home,Medium
33,Male,Pakistan,53365,True,True,Urban,Facebook,292,14,18,24,Afternoon,5,5,Entertainment,7,3,At school,Medium
62,Male,Philippines,39446,False,False,Rural,TikTok,220,12,20,40,Evening,6,4,Entertainment,8,2,Commuting,Medium
35,Male,India,22336,False,True,Urban,Facebook,85,19,28,14,Afternoon,5,5,Boredom,7,3,At work,Medium
64,Male,Brazil,82032,True,False,Urban,Instagram,157,7,13,92,Night,3,7,Boredom,5,5,At home,Low
41,Other,India,95415,True,True,Rural,TikTok,222,15,5,75,Night,3,7,Entertainment,5,5,At home,Low
43,Female,Indonesia,27521,False,False,Rural,YouTube,118,16,30,70,Night,3,7,Habit,5,5,At home,Low
42,Other,United States,91707,True,True,Rural,TikTok,138,8,1,62,Night,3,7,Entertainment,5,5,At home,Low
62,Female,United States,43481,False,False,Rural,Facebook,19,10,22,89,Night,3,7,Boredom,5,5,At work,Low
58,Female,Germany,38474,False,True,Rural,Facebook,56,4,18,61,Night,3,7,Entertainment,5,5,At school,Low
46,Male,United States,66760,True,False,Rural,Facebook,105,19,46,1,Afternoon,5,5,Boredom,7,3,At school,Medium
32,Male,India,75718,True,True,Rural,Facebook,112,19,5,89,Night,3,7,Boredom,5,5,Commuting,Low
62,Female,India,64629,True,False,Rural,YouTube,155,15,31,66,Night,3,7,Habit,5,5,At school,Low
18,Male,India,65232,True,True,Rural,TikTok,36,14,6,32,Night,3,7,Boredom,5,5,At work,Low
42,Other,Vietnam,87169,True,True,Rural,YouTube,229,1,27,13,Evening,6,4,Habit,8,2,At work,Medium
24,Other,Pakistan,70669,True,True,Rural,YouTube,27,16,25,33,Morning,8,2,Habit,10,0,At home,High
26,Male,United States,98021,True,True,Urban,YouTube,176,10,29,32,Evening,6,4,Boredom,8,2,At home,Medium
41,Female,United States,89184,True,False,Urban,Facebook,91,19,28,56,Afternoon,5,5,Entertainment,7,3,At work,Medium
18,Male,India,67945,True,True,Rural,Facebook,81,3,16,24,Night,3,7,Entertainment,5,5,At work,Low
61,Female,Mexico,33140,False,False,Urban,Facebook,263,5,12,91,Evening,6,4,Boredom,8,2,At home,Medium
25,Male,Germany,34357,False,False,Rural,TikTok,171,9,20,4,Afternoon,5,5,Boredom,7,3,At work,Medium
41,Male,Germany,88673,True,False,Rural,Instagram,47,18,18,88,Night,3,7,Boredom,5,5,Commuting,Low
28,Male,India,85633,True,False,Urban,Facebook,210,11,34,23,Night,3,7,Entertainment,5,5,At school,Low
34,Female,Japan,96943,True,False,Rural,TikTok,209,16,23,29,Night,3,7,Habit,5,5,At work,Low
25,Female,India,98258,True,True,Urban,Facebook,264,2,45,98,Night,3,7,Habit,5,5,At home,Low
52,Male,Philippines,32924,False,False,Rural,Facebook,188,12,27,21,Evening,6,4,Entertainment,8,2,At home,Medium
52,Female,Japan,89286,True,False,Urban,YouTube,44,6,49,30,Night,3,7,Habit,5,5,At home,Low
50,Male,Brazil,94071,True,True,Rural,YouTube,91,11,17,90,Night,3,7,Entertainment,5,5,At work,Low
22,Male,Mexico,77326,True,True,Rural,YouTube,229,8,48,20,Evening,6,4,Entertainment,8,2,At home,Medium
59,Male,Germany,50651,True,True,Rural,TikTok,167,12,21,16,Night,3,7,Procrastination,5,5,At work,Low
56,Female,India,90202,True,False,Rural,Instagram,13,2,40,67,Night,3,7,Entertainment,5,5,At home,Low
58,Female,Brazil,68777,True,False,Rural,Instagram,176,9,31,49,Evening,6,4,Habit,8,2,At home,Medium
45,Female,Vietnam,36994,False,False,Rural,TikTok,213,15,3,58,Evening,6,4,Procrastination,8,2,At work,Medium
24,Male,Indonesia,87263,True,True,Rural,Facebook,203,2,17,44,Evening,6,4,Boredom,8,2,At home,Medium
26,Male,United States,79634,True,False,Rural,TikTok,244,1,26,25,Night,3,7,Habit,5,5,At school,Low
25,Male,Brazil,30800,False,False,Urban,Facebook,215,10,23,23,Night,3,7,Boredom,5,5,At school,Low
29,Female,Philippines,57823,True,False,Rural,TikTok,159,2,6,59,Evening,6,4,Habit,8,2,At work,Medium
51,Male,United States,83878,True,False,Rural,TikTok,168,12,28,1,Evening,6,4,Habit,8,2,At work,Medium
50,Other,India,38708,False,True,Rural,TikTok,288,8,8,97,Evening,6,4,Habit,8,2,At work,Medium
40,Female,Pakistan,32819,False,False,Rural,Instagram,175,5,45,15,Night,3,7,Habit,5,5,At home,Low
41,Other,Vietnam,94905,True,True,Rural,YouTube,77,1,8,81,Night,3,7,Habit,5,5,At work,Low
54,Other,Brazil,83870,True,False,Rural,TikTok,97,15,19,98,Night,3,7,Habit,5,5,At home,Low
52,Female,Mexico,29283,False,True,Urban,Instagram,226,6,38,81,Evening,6,4,Habit,8,2,Commuting,Medium
61,Other,India,50573,True,False,Rural,YouTube,10,12,29,52,Evening,6,4,Boredom,8,2,At home,Medium
57,Male,United States,98707,True,True,Rural,YouTube,144,8,23,58,Night,3,7,Boredom,5,5,At home,Low
39,Female,India,50933,True,False,Rural,TikTok,194,13,47,41,Evening,6,4,Entertainment,8,2,At school,Medium
44,Female,Brazil,25774,False,True,Rural,Facebook,149,19,32,44,Night,3,7,Habit,5,5,At school,Low
52,Male,Mexico,92055,True,False,Rural,Facebook,115,1,10,4,Night,3,7,Boredom,5,5,At school,Low
18,Other,Philippines,30983,False,True,Rural,Facebook,142,11,27,77,Afternoon,5,5,Entertainment,7,3,At school,Medium
52,Female,Indonesia,38133,False,False,Urban,TikTok,117,1,49,68,Evening,6,4,Habit,8,2,At home,Medium
54,Male,United States,34939,False,True,Urban,Facebook,187,8,1,7,Evening,6,4,Habit,8,2,At home,Medium
64,Male,Indonesia,20781,False,False,Rural,Instagram,155,5,39,46,Night,3,7,Procrastination,5,5,At home,Low
31,Female,India,76700,True,True,Rural,Instagram,83,17,29,9,Night,3,7,Entertainment,5,5,Commuting,Low
20,Male,India,47624,False,False,Rural,Instagram,117,8,45,87,Afternoon,5,5,Entertainment,7,3,At school,Medium
18,Female,Brazil,26823,False,True,Rural,Instagram,131,10,3,33,Afternoon,5,5,Procrastination,7,3,At home,Medium
22,Female,Brazil,38489,False,False,Rural,YouTube,26,2,47,33,Evening,6,4,Entertainment,8,2,At home,Medium
43,Female,Pakistan,59961,True,True,Rural,Instagram,205,9,37,84,Night,3,7,Boredom,5,5,At home,Low
31,Female,Germany,49118,False,False,Rural,Facebook,261,3,31,4,Night,3,7,Entertainment,5,5,At work,Low
56,Male,Pakistan,42263,False,True,Rural,TikTok,128,18,11,65,Morning,8,2,Boredom,10,0,Commuting,High
44,Male,India,33565,False,False,Rural,Facebook,171,7,22,34,Afternoon,5,5,Procrastination,7,3,At school,Medium
26,Female,India,40354,False,True,Rural,Instagram,207,15,18,91,Afternoon,5,5,Habit,7,3,At work,Medium
32,Male,India,62951,True,True,Urban,YouTube,54,18,35,85,Evening,6,4,Procrastination,8,2,At home,Medium
32,Female,Pakistan,43648,False,True,Rural,Instagram,188,3,6,88,Evening,6,4,Habit,8,2,At school,Medium
43,Female,Mexico,70729,True,True,Urban,TikTok,53,14,3,79,Night,3,7,Entertainment,5,5,Commuting,Low
59,Male,Mexico,61971,True,False,Rural,Facebook,280,2,5,99,Morning,8,2,Entertainment,10,0,At work,High
30,Other,India,38658,False,True,Rural,TikTok,87,14,9,64,Evening,6,4,Habit,8,2,Commuting,Medium
49,Male,Vietnam,41253,False,False,Rural,TikTok,187,11,28,25,Night,3,7,Procrastination,5,5,At work,Low
56,Male,Germany,84166,True,False,Urban,TikTok,12,16,19,55,Morning,8,2,Procrastination,10,0,At home,High
49,Other,Mexico,68563,True,False,Rural,Facebook,223,8,28,9,Evening,6,4,Boredom,8,2,At home,Medium
21,Male,Japan,46390,False,False,Rural,Instagram,83,7,27,17,Evening,6,4,Habit,8,2,At school,Medium
47,Other,United States,71578,True,False,Urban,TikTok,60,11,13,21,Afternoon,5,5,Habit,7,3,At home,Medium
54,Male,India,99025,True,True,Rural,Facebook,76,3,38,60,Night,3,7,Habit,5,5,At home,Low
40,Male,India,52658,True,False,Rural,YouTube,102,17,43,13,Evening,6,4,Entertainment,8,2,At home,Medium
56,Other,India,26852,False,False,Urban,Facebook,185,14,21,3,Afternoon,5,5,Habit,7,3,At home,Medium
62,Male,United States,22551,False,True,Urban,YouTube,154,6,27,68,Night,3,7,Boredom,5,5,At school,Low
32,Male,United States,91947,True,True,Urban,Facebook,16,8,46,4,Afternoon,5,5,Boredom,7,3,At home,Medium
60,Female,Japan,81001,True,True,Rural,Instagram,278,5,6,92,Night,3,7,Boredom,5,5,At work,Low
46,Other,Pakistan,69159,True,False,Rural,TikTok,13,8,38,7,Night,3,7,Boredom,5,5,At school,Low
53,Female,Vietnam,71707,True,False,Rural,Instagram,147,2,49,26,Evening,6,4,Procrastination,8,2,At school,Medium
30,Other,India,53243,True,False,Rural,Facebook,240,15,11,75,Evening,6,4,Entertainment,8,2,Commuting,Medium
49,Male,India,41800,False,True,Rural,TikTok,97,12,47,24,Afternoon,5,5,Entertainment,7,3,At work,Medium
24,Male,Indonesia,95939,True,False,Urban,YouTube,26,17,41,10,Afternoon,5,5,Habit,7,3,At home,Medium
39,Other,Japan,77828,True,False,Rural,Facebook,61,1,17,13,Night,3,7,Boredom,5,5,At work,Low
45,Male,India,27239,False,False,Rural,TikTok,143,15,39,44,Evening,6,4,Entertainment,8,2,At home,Medium
19,Male,Japan,26710,False,False,Urban,YouTube,220,14,7,39,Evening,6,4,Boredom,8,2,Commuting,Medium
59,Male,Japan,41384,False,True,Urban,YouTube,228,16,30,19,Afternoon,5,5,Entertainment,7,3,At work,Medium
62,Male,Philippines,41038,False,False,Rural,Instagram,214,9,21,51,Evening,6,4,Habit,8,2,At school,Medium
23,Male,Japan,60846,True,True,Urban,Facebook,220,1,1,19,Evening,6,4,Entertainment,8,2,At school,Medium
45,Female,United States,87821,True,False,Rural,YouTube,286,17,25,76,Afternoon,5,5,Habit,7,3,At work,Medium
45,Female,Philippines,57991,True,True,Rural,TikTok,33,13,32,52,Afternoon,5,5,Entertainment,7,3,At home,Medium
61,Male,Japan,99057,True,False,Rural,YouTube,13,5,8,86,Afternoon,5,5,Habit,7,3,At school,Medium
61,Male,Germany,26971,False,True,Rural,YouTube,161,10,5,47,Night,3,7,Entertainment,5,5,At work,Low
37,Female,United States,49139,False,False,Rural,Instagram,268,6,30,30,Night,3,7,Habit,5,5,At work,Low
47,Male,India,97067,True,True,Rural,Instagram,177,19,8,46,Evening,6,4,Entertainment,8,2,At home,Medium
28,Male,Philippines,57711,True,False,Urban,TikTok,185,13,49,76,Night,3,7,Entertainment,5,5,Commuting,Low
45,Female,Indonesia,26530,False,True,Urban,Instagram,65,1,19,93,Evening,6,4,Habit,8,2,At work,Medium
42,Male,United States,31116,False,False,Rural,YouTube,117,15,44,21,Morning,8,2,Boredom,10,0,At home,High
56,Female,Indonesia,85794,True,True,Rural,YouTube,150,14,30,75,Evening,6,4,Boredom,8,2,At school,Medium
50,Male,India,20282,False,False,Urban,Instagram,164,8,15,48,Afternoon,5,5,Habit,7,3,At work,Medium
18,Other,Indonesia,99473,True,True,Urban,YouTube,271,10,36,62,Afternoon,5,5,Entertainment,7,3,At home,Medium
44,Female,India,21898,False,False,Rural,YouTube,282,9,44,58,Evening,6,4,Procrastination,8,2,At school,Medium
30,Female,India,24135,False,True,Rural,TikTok,241,17,27,18,Evening,6,4,Procrastination,8,2,At school,Medium
58,Male,Philippines,26629,False,False,Rural,Instagram,250,9,13,59,Evening,6,4,Habit,8,2,At school,Medium
20,Female,Japan,85031,True,True,Rural,YouTube,267,3,14,91,Evening,6,4,Habit,8,2,At school,Medium
56,Male,Brazil,53380,True,False,Rural,Instagram,258,11,37,48,Night,3,7,Entertainment,5,5,At home,Low
23,Male,India,37071,False,True,Urban,TikTok,86,12,48,63,Evening,6,4,Entertainment,8,2,At work,Medium
25,Male,Philippines,40074,False,False,Rural,Instagram,189,10,30,12,Afternoon,5,5,Procrastination,7,3,At home,Medium
44,Male,Germany,87843,True,True,Urban,YouTube,75,17,39,87,Morning,8,2,Procrastination,10,0,At work,High
26,Female,India,59901,True,True,Rural,Instagram,180,17,47,34,Morning,8,2,Entertainment,10,0,Commuting,High
54,Male,Mexico,31205,False,True,Rural,YouTube,31,11,13,61,Morning,8,2,Habit,10,0,At home,High
50,Male,Indonesia,75661,True,True,Rural,YouTube,116,4,16,87,Evening,6,4,Boredom,8,2,At work,Medium
59,Other,Brazil,25906,False,False,Rural,YouTube,236,7,44,53,Evening,6,4,Entertainment,8,2,At home,Medium
61,Male,Japan,22591,False,True,Urban,TikTok,225,14,7,25,Evening,6,4,Habit,8,2,At home,Medium
41,Female,United States,82987,True,True,Rural,Instagram,78,7,48,62,Afternoon,5,5,Entertainment,7,3,At home,Medium
32,Other,India,83370,True,True,Urban,TikTok,93,8,27,4,Evening,6,4,Habit,8,2,At school,Medium
49,Male,Vietnam,74400,True,False,Rural,Instagram,112,1,45,94,Evening,6,4,Habit,8,2,At home,Medium
49,Male,Pakistan,45150,False,True,Rural,TikTok,48,4,35,94,Evening,6,4,Habit,8,2,At home,Medium
41,Male,Brazil,51852,True,False,Urban,Facebook,22,12,15,13,Night,3,7,Habit,5,5,At work,Low
58,Male,United States,62870,True,False,Rural,YouTube,190,3,28,42,Morning,8,2,Boredom,10,0,At home,High
29,Male,India,72756,True,False,Rural,YouTube,277,13,35,49,Evening,6,4,Boredom,8,2,Commuting,Medium
56,Other,Vietnam,76481,True,False,Rural,TikTok,22,6,7,78,Evening,6,4,Entertainment,8,2,At school,Medium
19,Female,Philippines,21283,False,False,Rural,Facebook,129,11,46,56,Morning,8,2,Habit,10,0,At home,High
20,Female,Japan,53691,True,True,Rural,YouTube,66,4,46,47,Evening,6,4,Habit,8,2,At home,Medium
54,Female,India,21125,False,False,Rural,Instagram,49,16,20,8,Night,3,7,Habit,5,5,At school,Low
34,Male,India,87065,True,False,Rural,TikTok,137,7,32,55,Night,3,7,Boredom,5,5,Commuting,Low
19,Male,India,46170,False,True,Urban,YouTube,182,11,38,88,Evening,6,4,Boredom,8,2,At school,Medium
19,Male,India,28438,False,True,Rural,YouTube,44,1,40,18,Night,3,7,Habit,5,5,At school,Low
45,Female,Vietnam,40095,False,True,Rural,TikTok,268,7,32,35,Evening,6,4,Habit,8,2,Commuting,Medium
40,Male,Indonesia,36154,False,False,Rural,TikTok,14,12,26,89,Night,3,7,Habit,5,5,At home,Low
54,Male,Pakistan,28004,False,False,Rural,Instagram,227,7,39,81,Evening,6,4,Procrastination,8,2,At school,Medium
49,Female,Germany,29752,False,False,Rural,Instagram,20,7,20,32,Evening,6,4,Habit,8,2,At home,Medium
50,Other,India,75426,True,True,Rural,YouTube,126,10,18,24,Afternoon,5,5,Habit,7,3,At work,Medium
18,Other,Mexico,46819,False,False,Urban,YouTube,193,16,15,7,Evening,6,4,Boredom,8,2,At school,Medium
36,Female,Pakistan,44217,False,False,Rural,TikTok,125,8,22,13,Evening,6,4,Habit,8,2,At work,Medium
19,Male,India,52994,True,False,Rural,YouTube,171,9,22,91,Evening,6,4,Boredom,8,2,At school,Medium
61,Male,Japan,35036,False,False,Rural,YouTube,76,9,21,69,Night,3,7,Habit,5,5,At home,Low
43,Male,India,97275,True,True,Rural,TikTok,209,2,2,90,Evening,6,4,Entertainment,8,2,At home,Medium
49,Male,United States,69416,True,False,Urban,YouTube,40,13,40,42,Morning,8,2,Procrastination,10,0,At home,High
23,Other,Pakistan,29587,False,True,Rural,YouTube,84,13,43,31,Night,3,7,Procrastination,5,5,Commuting,Low
49,Male,Mexico,20645,False,False,Rural,Facebook,246,4,18,74,Night,3,7,Procrastination,5,5,At home,Low
21,Male,India,50930,True,True,Urban,Instagram,75,12,23,26,Night,3,7,Boredom,5,5,At school,Low
28,Male,Indonesia,50090,True,False,Rural,TikTok,79,17,13,86,Evening,6,4,Entertainment,8,2,At work,Medium
34,Other,Vietnam,72142,True,True,Rural,Facebook,29,2,41,76,Afternoon,5,5,Entertainment,7,3,At school,Medium
55,Other,United States,46475,False,False,Rural,Instagram,235,13,9,32,Evening,6,4,Habit,8,2,At school,Medium
41,Male,Philippines,38888,False,True,Rural,Instagram,208,18,49,91,Evening,6,4,Boredom,8,2,At home,Medium
22,Male,Pakistan,63732,True,False,Rural,Instagram,48,15,7,97,Evening,6,4,Boredom,8,2,At work,Medium
51,Male,Japan,66305,True,True,Rural,Facebook,154,8,41,52,Night,3,7,Habit,5,5,At work,Low
23,Male,Vietnam,66037,True,False,Rural,Facebook,54,15,1,20,Night,3,7,Habit,5,5,At school,Low
39,Other,United States,29346,False,True,Rural,Instagram,100,1,2,40,Evening,6,4,Habit,8,2,At home,Medium
28,Male,India,20587,False,False,Rural,YouTube,247,10,4,59,Night,3,7,Entertainment,5,5,At home,Low
33,Female,United States,32763,False,True,Rural,YouTube,79,12,14,77,Night,3,7,Boredom,5,5,At school,Low
50,Male,Vietnam,79165,True,False,Rural,Facebook,175,5,32,14,Night,3,7,Entertainment,5,5,At school,Low
26,Other,United States,89615,True,True,Urban,Facebook,139,9,36,44,Night,3,7,Boredom,5,5,At home,Low
23,Male,Germany,56116,True,False,Urban,Facebook,223,8,2,86,Afternoon,5,5,Entertainment,7,3,Commuting,Medium
33,Female,Brazil,45556,False,True,Urban,Instagram,98,16,40,82,Evening,6,4,Boredom,8,2,Commuting,Medium
46,Female,Indonesia,79042,True,False,Urban,YouTube,261,14,14,48,Evening,6,4,Procrastination,8,2,At school,Medium
20,Other,India,38099,False,True,Rural,Facebook,81,13,20,93,Morning,8,2,Habit,10,0,At home,High
37,Female,Vietnam,65096,True,False,Rural,Facebook,174,13,25,43,Night,3,7,Habit,5,5,At work,Low
53,Male,Germany,91986,True,True,Rural,TikTok,58,5,42,16,Evening,6,4,Habit,8,2,At school,Medium
36,Female,Germany,33230,False,True,Rural,Instagram,61,16,49,35,Afternoon,5,5,Procrastination,7,3,Commuting,Medium
43,Other,Philippines,49009,False,True,Rural,TikTok,298,11,8,53,Afternoon,5,5,Entertainment,7,3,At work,Medium
